Question,Answer
"How can I support a circular economy?","Buy recycled-content products, recycle right, repair/reuse items, and prefer durable goods over disposables."
"What is the National Recycling Strategy?","EPA’s strategy to reduce contamination, improve collection/processing, and strengthen markets for recycled materials."
"Why do recycling rules vary by city?","Programs and facilities differ by region; accepted materials and preparation rules vary—always follow local guidance."
"Can glass lids or metal lids be recycled?","Check locally. Metal lids are often recyclable; place inside cans if advised. Glass jar lids may be accepted if metal."
"Are paper milk/juice cartons accepted?","Many places do accept cartons; verify locally and follow instructions on caps and rinsing."
"Can greasy paper plates be recycled?","Heavily food-soiled paper is usually not recyclable; compost if possible or dispose."
"Can I recycle aluminum foil with food on it?","No—foil must be clean; otherwise it’s contamination."
"Are plastic plant pots recyclable?","Varies widely; some drop-offs accept them. Check local programs."
"What about hard plastics like buckets or crates?","Some drop-offs or bulky collections accept rigid plastics; curbside rules vary."
"Can I recycle blister packs (pills)?","Often not accepted curbside; check pharmacy or specialty programs."
"Are toothpaste tubes recyclable?","Many tubes are multi-layer and not accepted; some brands offer take-back programs."
"Can cooking oil be recycled?","Don’t pour down drains. Some areas accept used cooking oil at HHW sites or specialized recyclers."
"What about propane tanks?","Do not put in bins—return to tank exchange programs or HHW sites due to safety risks."
"Can I recycle textiles with tears/holes?","Yes, if clean and dry—many recyclers accept worn textiles for rags/insulation rather than landfill."
"Are CDs/DVDs recyclable?","Not in curbside bins; look for specialty recyclers or reuse/donate."
"Can I recycle books?","Paperbacks often accepted if clean; remove hard covers if required by local program."
"Are metal hangers recyclable?","Not in bins—they tangle equipment. Take to dry cleaners or scrap metal drop-off."
"Can I recycle pizza box liners?","Greasy liners are usually not recyclable; compost if accepted, otherwise dispose."
"What about chip bags and candy wrappers?","These multi-layer films are usually not accepted curbside; look for specialty take-back if available."
"Are paper coffee filters recyclable?","Often better for compost; check local rules."
"Can I recycle batteries with electronics?","Handle batteries separately—use dedicated battery collection, not curbside."
"Do I need to remove bottle rings?","Not necessary for most programs; ensure the bottle is empty, clean, and cap rules are followed."
"Should I rinse metal cans?","Yes—quickly rinse to remove food so they are clean and dry."
"Can I recycle plastic toys?","Generally not curbside due to mixed materials and shapes; consider donation or specialty recycling."
"What about tissue/napkins/paper towels?","Typically not recyclable once used; compost clean paper towels/napkins if possible."
"Can I recycle envelopes with windows?","Yes—small plastic windows are removed during processing in many mills."
"Are magazines with staples/glossy pages recyclable?","Usually yes if clean and dry; check local acceptance."
"Can I recycle kitchen glassware or Pyrex?","Heat-treated glass is different from container glass and is typically not accepted curbside."
"Are cassette/VHS tapes recyclable?","Not curbside; they’re tanglers. Seek specialty recyclers or dispose responsibly."
"Can I recycle cooking pans?","Curbside bins usually don’t accept bulky metal; scrap metal recyclers might."
"Are printer cartridges recyclable?","Use manufacturer or retailer take-back programs for cartridges."
"Can I recycle smartphones and tablets?","Yes—use certified e-waste or manufacturer/retailer take-back, not curbside bins."
"Is it okay to leave lids on glass jars?","Follow local rules; metal lids often recyclable. Rinse jars and check acceptance of lids."
"Why do some items with the recycling symbol still get rejected?","The symbol may indicate resin type, not local acceptance; programs differ by facility capability."
